tion,2974.0
ly,2915.0
ness,1881.0
al,1582.0
ry,1404.0
ous,1076.0
ment,905.0
less,706.0
ate,639.0
tive,636.0
ism,633.0
tor,565.0
ist,516.0
um,485.0
ful,429.0
gy,428.0
ed,419.0
ize,417.0
sis,389.0
ish,376.0
lar,375.0
man,374.0
late,368.0
ship,345.0
form,329.0
age,327.0
sion,322.0
ite,295.0
nate,293.0
nous,262.0
ny,256.0
ted,241.0
nal,233.0
ger,231.0
ance,229.0
my,228.0
ant,227.0
cate,224.0
tal,218.0
let,211.0
bly,210.0
fy,204.0
ceous,200.0
or,198.0
on,197.0
ent,195.0
lous,193.0
tate,193.0
try,185.0
graph,179.0
et,175.0
lite,170.0
el,168.0
ling,164.0
rate,163.0
gist,161.0
ive,156.0
sive,155.0
line,155.0
cent,143.0
ric,142.0
ine,141.0
fish,137.0
mous,135.0
cle,134.0
cal,131.0
rous,127.0
tle,124.0
scope,124.0
per,123.0
py,122.0
ber,122.0
ence,122.0
wort,118.0
ral,118.0
ple,112.0
tine,112.0
ics,112.0
head,111.0
ess,110.0
sy,107.0
tious,106.0
tial,104.0
zer,102.0
gate,102.0
stone,102.0
nite,102.0
cence,98.0
some,96.0
cer,95.0
mate,95.0
lus,94.0
dy,93.0
work,92.0
tism,92.0
cism,92.0
ward,91.0
tous,91.0
lum,90.0
mal,90.0
ting,90.0
cious,89.0
mic,89.0
son,87.0
wood,87.0
ner,86.0
tist,85.0
like,84.0
tude,84.0
net,83.0
lent,82.0
hood,81.0
oid,79.0
kle,78.0
weed,77.0
house,76.0
dal,75.0
ide,75.0
kin,75.0
ion,74.0
rus,74.0
lose,72.0
date,71.0
board,70.0
way,70.0
rine,70.0
us,69.0
dine,68.0
pher,68.0
sal,68.0
tize,66.0
gent,65.0
cian,65.0
nant,65.0
worm,65.0
tum,65.0
er,64.61363636363636
loid,64.0
tus,64.0
tral,63.0
rite,63.0
ing,62.22727272727273
tes,62.0
lic,61.0
tress,61.0
tail,61.0
ret,61.0
mist,60.0
cus,60.0
nist,59.0
tile,59.0
by,59.0
thy,59.0
tant,58.0
gram,58.0
land,58.0
bird,57.0
tric,57.0
